Gene ID,Vector_1,Vector_2,Vector_3,EGFP_1,EGFP_2,EGFP_3,PolyD_1,PolyD_2,PolyD_3,PolyE_1,PolyE_2,PolyE_3
YDR210C-D,60.005856,62.510117,78.239174,57.556084,47.999935,39.778938,35.959255,34.183113,36.824909,30.652872,39.031036,35.004669
YDR210W,6.553253,0.508708,0,0,0.558017,4.486423,0.47177,0,0,0.616576,0.07771,1.630842
YDR210W-A,1.480422,1.517865,1.419315,1.281217,1.25491,1.448041,1.753487,1.827931,1.681689,1.232054,1.639341,1.437167
YDR210W-B,20.56871,23.055441,24.091501,19.069042,17.286715,13.497296,14.059138,13.237718,14.535312,10.756791,14.033117,13.260699
YDR211W,64.907501,66.848648,72.378075,65.143806,59.104637,50.415791,61.536224,63.117073,62.620872,51.607635,63.868881,59.974991
YDR212W,150.763733,144.282959,142.695847,105.724564,97.018623,85.230827,110.175774,106.066902,106.264526,107.337608,106.184479,108.608887
YDR213W,8.579583,10.038692,9.457486,9.997904,7.753527,6.104801,9.589293,9.324059,10.078137,8.524377,9.425947,9.05306
YDR214W,229.530457,250.309586,236.897766,352.768616,291.496124,238.010132,311.54776,300.580566,352.237244,237.581573,233.150162,232.460999
YDR215C,4.545724,5.278775,3.012299,13.097695,11.253305,9.498144,6.526958,9.164019,6.620253,7.281716,6.770133,5.641921
YDR216W,5.560168,4.273566,7.636994,23.006357,20.753134,18.242846,24.365959,22.258808,21.168133,17.153503,16.76807,16.770756
YDR217C,8.886522,9.428984,10.059194,10.496161,8.994762,5.943064,10.82484,10.205216,9.607705,6.55535,7.811894,8.836552
YDR218C,3.681213,2.542753,4.15606,2.611343,2.083116,2.166005,8.564287,7.359115,6.626332,4.624445,3.571735,4.660704
YDR219C,18.043903,15.6106,22.257877,23.855494,19.909176,15.006769,18.938648,21.468159,19.124846,16.072943,18.859995,18.835676
YDR220C,4.501106,3.901761,6.019863,5.062275,3.927086,2.609982,3.329549,4.362764,3.838122,2.708363,3.407546,3.396422
YDR221W,26.56439,25.387569,36.619789,29.867342,24.311281,23.062311,28.483627,25.675947,25.714394,22.342834,25.391853,26.097242
YDR222W,23.565172,20.424532,18.860912,51.682957,49.800316,41.491653,41.364536,43.089199,34.950268,28.376869,39.134319,35.737801
YDR223W,17.66555,17.085896,21.264753,15.784562,11.802868,12.089851,18.008516,14.826054,18.008083,12.135899,13.841464,14.176589
YDR224C,664.401062,559.246948,676.143372,544.925598,620.19165,524.934143,761.830505,755.150757,670.208618,758.391724,758.612122,817.787476
YDR225W,656.668457,486.994537,649.288696,339.333862,463.459686,426.566437,541.993225,528.533936,458.707336,568.091492,573.246094,586.940186
YDR226W,793.708313,830.717651,800.883057,658.074036,727.562378,633.838867,714.366028,761.340637,759.021362,810.817993,725.793274,783.519653
YDR227W,8.993611,8.140691,9.646469,12.847488,11.360987,8.480581,11.429153,12.325595,11.761767,8.473122,10.092301,10.932147
YDR228C,24.560787,25.606623,29.160723,30.760101,28.135582,18.058594,26.663803,27.923773,24.664457,22.629429,27.841671,25.977688
YDR229W,24.171276,22.520866,27.471003,26.294882,22.886599,17.627661,22.983648,24.533447,22.839468,15.447102,24.133736,19.156605
YDR230W,7.742195,9.408661,10.203078,12.349647,11.217888,9.536538,14.008369,13.392351,11.602969,8.616566,11.909151,9.738122
YDR231C,25.509193,24.374851,34.220142,34.128815,39.226173,32.34869,36.074139,34.665096,34.948109,25.436623,31.910095,29.013672
YDR232W,84.330849,84.910439,81.791534,84.45121,71.66626,60.761425,80.190842,66.259567,71.18895,68.382812,79.041718,74.327888
YDR233C,701.1875,634.042969,735.314819,491.239685,525.288208,461.414734,674.232605,615.387573,629.528748,665.631714,669.822327,689.316406
YDR234W,75.535553,72.097702,349.180023,65.415367,53.338585,50.740326,59.446442,53.376446,57.002712,45.113697,52.015472,48.380295
YDR235W,26.603376,23.280264,34.492836,24.625975,22.292618,19.567091,25.140234,23.600887,24.144875,22.585312,27.632254,26.794952
YDR236C,114.805466,104.709885,119.749741,65.859192,66.132011,64.753815,66.87545,65.209473,66.736534,71.545509,75.155014,67.834625
YDR237W,49.733364,43.568924,50.968719,40.813423,34.471916,31.995945,37.265713,36.237206,35.024361,37.618038,43.064816,38.407288
YDR238C,92.385406,93.402962,103.71048,79.518784,71.099922,63.512711,69.952446,70.842163,70.326118,71.587753,74.247871,74.794167
YDR239C,13.696313,12.409144,14.206216,15.436004,12.193886,9.827277,15.160419,14.581396,13.983032,12.335177,13.844054,13.601973
YDR240C,15.797879,15.285069,17.069532,16.070017,14.378398,13.385807,15.200136,19.640388,16.460781,13.948636,17.978491,17.208246
YDR241W,17.419426,17.233051,23.770451,14.016534,13.424002,13.076812,17.796122,16.706085,17.159458,13.002781,15.484591,16.187408
YDR242W,15.853567,14.7406,27.236713,21.241932,17.848505,14.308728,24.155607,24.395788,22.016735,17.096123,20.834869,21.202257
YDR243C,11.381682,10.663886,12.710048,10.461513,9.549686,7.471039,10.448765,10.939922,10.252381,9.138405,10.782376,9.695792
YDR244W,23.205372,20.924669,27.434053,24.118059,22.398216,18.312643,22.842197,22.953115,21.918436,17.138849,23.592175,19.790159
YDR245W,94.325424,94.713104,106.056458,86.186348,86.312607,77.166603,88.360962,88.891006,82.562813,88.328323,97.632767,93.369499
YDR246W,55.561729,56.952141,57.950977,54.009506,45.743702,41.58667,58.591393,61.422268,62.473202,43.530811,55.31403,48.296848
YDR246W-A,8.858422,10.487967,9.02667,5.593593,3.527284,5.950552,10.515721,5.525569,6.801956,5.076178,6.176516,4.130627
YDR247W,14.752283,13.79055,16.214582,20.516655,21.342985,16.391405,20.055386,20.801397,20.304005,16.406794,19.629215,17.359434
YDR248C,44.830685,42.485001,58.548397,43.803005,41.774586,36.836208,45.301151,50.922665,53.571312,37.750813,42.590462,44.288086
YDR249C,24.546122,17.954353,22.618811,17.281912,18.150482,17.111301,17.364691,16.554867,18.287792,13.701209,20.338526,15.365473
