Gene ID,Vector_1,Vector_2,Vector_3,EGFP_1,EGFP_2,EGFP_3,PolyI_1,PolyI_2,PolyI_3
YHR107C,11.080303,3.690611,20.933495,7.653584,8.242867,11.114783,16.339169,14.89269,18.987055
YHR108W,36.227024,47.308792,58.489574,46.307545,53.396362,60.250946,59.033237,64.871849,67.446236
YHR109W,2.465699,2.629858,3.512928,2.620804,4.752139,4.507778,7.738225,8.983539,7.488492
YHR110W,57.457481,43.336411,60.111389,34.679134,42.737289,45.409714,45.9417,48.284168,49.636578
YHR111W,22.770594,22.155802,22.499825,18.045969,23.082285,23.394011,33.316711,33.272224,29.519554
YHR112C,24.113213,23.960791,24.732988,33.101246,35.828033,32.03619,67.294357,56.600697,54.863174
YHR113W,60.508514,73.931831,42.53265,70.926048,95.221016,82.020874,113.482315,126.285141,130.310242
YHR114W,6.669861,5.714079,8.280262,4.172251,4.234232,5.582276,6.69003,6.52101,7.489184
YHR115C,29.867142,28.574255,33.446877,37.966534,37.638935,41.610191,57.65279,51.195019,48.822018
YHR116W,11.434255,10.067039,9.850292,9.46149,11.464547,11.618024,16.620741,17.278997,16.142876
YHR117W,21.72616,24.677483,24.32382,25.779701,29.321238,37.715656,41.446198,38.026051,37.162563
YHR118C,3.754832,3.624951,6.09534,1.800008,3.364547,4.028819,6.19547,3.517067,4.630246
YHR119W,6.105376,5.662222,5.751005,3.683843,5.090333,7.02967,8.697183,6.629524,7.207165
YHR120W,3.115959,3.496973,4.318844,1.735813,2.822853,3.565371,3.103579,3.173561,3.165946
YHR121W,44.718098,23.30636,56.187237,16.892561,22.607466,24.772917,26.107056,25.041353,28.443525
YHR122W,46.163948,36.776352,70.616699,28.428612,36.129787,29.409134,62.909874,56.014263,59.69865
YHR123W,186.18367,203.503693,161.093979,173.857101,200.235504,220.963181,178.209045,186.023773,161.25032
YHR124W,25.240616,23.405762,17.483818,8.777191,12.794986,18.903717,19.855047,15.910764,20.232845
tF(GAA)H2,0,0,0,0,0,0.282708,1.082052,0.966136,0
YHR125W,0.592718,0.241309,0.366574,0,0,0.25655,1.790302,1.383607,1.470065
YHR126C,0.261395,0.076616,0.139876,0.212336,0,0,0.471273,0.34029,0.679914
YHR127W,8.895026,9.239372,18.318962,5.20727,6.100578,11.689003,11.407086,10.013562,11.653074
YHR128W,116.136475,103.807442,215.288284,39.879013,68.320686,83.248871,56.614388,61.285305,64.441658
YHR129C,5.500949,2.187953,6.166046,1.680333,2.466958,4.390482,6.17564,6.377351,5.002471
YHR130C,6.940946,3.904038,3.01969,2.19478,4.252771,3.442628,6.251337,4.806556,8.350222
YHR131C,4.606594,3.309994,5.245545,4.102212,7.203349,7.441257,11.016127,9.015375,10.408127
YHR131W-A,0.407993,0.969356,1.18141,0.840402,2.703697,2.076373,2.471046,2.869937,2.138561
YHR132C,91.792297,107.682365,75.745255,102.688438,102.604523,99.821808,124.307907,110.102676,102.826805
YHR132W-A,40.514465,34.80117,40.367096,29.094458,33.519371,39.72369,25.88381,17.489937,23.682747
YHR133C,73.099968,50.994247,100.703415,53.592831,71.207817,98.680641,73.421181,74.470253,73.965569
YHR134W,10.599949,8.381829,11.909329,7.239128,10.407317,13.494187,12.751475,9.900244,9.790096
YHR135C,13.5162,12.300054,15.928179,13.205409,14.624035,14.898873,19.722467,19.051189,18.082813
YHR136C,84.984901,63.305275,34.793987,73.663383,51.097832,69.776833,7.634674,5.88386,5.355407
YHR137W,159.632584,112.322182,17.749763,125.841347,184.380707,329.766693,100.097496,96.657387,124.887146
YHR137C-A,2.444659,0.704249,2.337741,4.487696,1.689213,3.407919,8.43047,8.986243,10.048686
YHR138C,65.236649,32.362289,44.542931,65.142166,89.317467,57.242496,185.615158,208.332962,204.926193
YHR139C,5.025227,5.895324,4.567357,3.495636,4.523868,4.279463,78.625595,63.605145,36.110012
YHR139C-A,12.885248,6.707467,4.753785,0.884069,3.045529,3.156873,7.492634,5.628393,4.991406
YHR140W,49.575542,41.411083,15.857456,13.176741,12.990661,12.449782,22.163019,25.173647,22.233101
snR32,10.868774,4.951972,12.10902,5.647562,5.155187,4.996915,4.040449,10.639948,6.643281
YHR141C,1273.606812,964.771667,2504.045654,821.196716,906.173828,1058.50293,716.120361,694.777405,766.616455
YHR142W,152.068512,117.862106,121.020538,101.341164,167.667068,178.175003,114.930298,111.541458,114.79567
YHR143W,1002.129639,1222.425171,893.297119,1779.906494,2113.811523,2586.319336,625.932739,614.468933,636.713989
YHR143W-A,108.942726,49.758633,185.501389,53.00359,72.043365,81.969933,75.626953,73.856354,88.238632
YHR144C,13.707762,5.247125,23.432465,4.363968,6.731919,9.204202,8.308702,7.573859,7.988403
tP(UGG)H,0,0.255586,0,0,0,0,0.283118,0,0
YHR145C,0.547191,0.176582,0.219319,0.035084,0.081198,0.071411,0.49496,0.355118,0.646663
YHR146W,19.428928,13.903759,42.098423,14.822532,16.074842,16.002481,24.7173,20.675642,20.761452
YHR147C,22.798729,12.210918,26.590229,12.096283,19.646118,20.439449,24.051386,23.897381,24.395395
YHR148W,11.618163,3.287051,31.782623,3.242612,7.811108,9.153252,10.9467,6.541249,11.942056
YHR149C,3.892263,3.702307,9.146289,2.180665,3.252,5.182227,4.96178,4.852859,4.502659
YHR150W,5.505499,3.041994,5.490257,2.598079,3.932055,4.54755,6.535518,6.926839,6.179596
YHR151C,63.444237,55.415764,51.005333,48.221523,61.315552,72.04689,68.190865,57.660072,60.965076
YHR152W,19.208006,8.787537,29.937462,3.218243,5.975848,8.326942,11.516161,10.689928,12.019982
YHR153C,6.700011,5.490208,7.102528,3.168121,5.492171,9.679662,1.198389,1.498458,1.426346
YHR154W,2.500137,1.295815,3.471925,1.039788,1.152302,2.422738,1.631318,1.834912,1.964563
YHR155W,4.41674,3.794739,5.307232,7.155536,6.160135,8.180909,12.21578,10.054477,10.635853
snR71,64.416374,128.225266,126.257889,6.330167,6.197814,8.497877,7.093668,12.023879,12.193564
YHR156C,51.357944,85.488831,76.731979,6.710511,6.98319,9.883335,11.509297,8.628566,10.874962
YHR157W,7.010499,5.081997,10.076333,0.574258,0.468222,1.945541,3.730035,3.989938,2.143384
YHR158C,2.693069,1.536259,4.029388,2.276614,3.507122,4.216635,3.774676,4.028628,4.017637
YHR159W,3.543139,3.398398,3.559442,4.9923,4.443005,4.388633,5.972775,4.895642,5.771795
YHR160C,7.691779,6.435139,4.043746,8.634833,6.322083,7.414506,9.351854,9.059757,8.999789
YHR161C,9.327312,10.752555,7.605409,7.765638,11.063996,8.239307,17.042822,17.979889,15.753675
YHR162W,1181.132446,696.626953,980.65271,383.786743,513.002625,327.063446,608.344849,665.096436,798.637146
YHR163W,316.205536,354.674713,293.216248,316.089996,309.292847,281.591827,378.335693,371.12912,318.451508
YHR164C,1.187938,1.013277,1.14633,0.900295,1.257184,1.410423,3.992832,3.115173,3.283574
YHR165C,1.744771,1.4143,1.772019,2.167332,2.716237,3.409655,3.805811,3.46851,4.352324
YHR165W-A,0.030942,0.088356,0.047598,0.033041,0.076662,0.122191,0.175462,0.170648,0.183011
YHR166C,4.406948,3.872031,4.378411,2.070261,3.552887,3.347648,5.388913,4.650978,5.311003
YHR167W,6.242967,2.209729,8.279618,3.467871,2.201153,5.342449,4.664596,4.557522,7.161565
YHR168W,4.794886,3.093407,6.945744,1.970367,3.457977,3.467036,3.182664,3.239452,2.753347
YHR169W,7.843596,5.368682,14.051348,2.916028,6.037329,7.809704,10.793639,8.111204,10.972138
YHR170W,29.203882,16.116291,55.65102,19.704735,30.848135,48.311737,43.368813,30.348505,32.821758
YHR171W,4.809727,3.136178,3.805993,4.693602,6.399336,5.268607,11.354228,10.576821,10.654156
YHR172W,5.02403,4.734229,5.566585,2.451333,3.346272,4.376513,2.923831,2.602683,3.589355
YHR173C,9.958325,8.390726,6.341356,8.235379,7.319272,11.325727,8.710668,8.983672,8.383465
YHR174W,22062.38867,32695.91211,20964.95898,33184.03906,27189.81445,27242.06055,29969.88672,29635.58984,29636.54688
YHR175W,569.125916,544.75116,327.274536,507.876068,522.205994,554.473206,345.463074,319.167847,297.649536
YHR175W-A,167.071701,124.507812,83.603371,126.582214,121.207634,138.901169,86.792526,92.329552,68.841331
YHR176W,10.524719,13.011302,7.662712,4.099751,5.259243,4.902034,13.959288,12.577557,11.813143
YHR177W,10.587582,8.809167,6.083473,20.971163,43.232967,26.668394,8.574181,8.028528,6.974195
YHR178W,13.908394,19.073675,11.372239,3.89185,4.012627,4.356721,5.532336,3.821289,4.250581
YHR179W,184.405197,95.937065,227.10466,130.564301,184.170776,165.085785,210.38414,243.56015,199.632385
YHR180W,14.46413,13.287307,14.25872,8.032785,11.314069,8.342427,19.588055,19.979654,19.714615
YHR180W-A,0.238017,0.392231,0.273298,0.606765,0.164753,0,0.130323,0.717533,0.068996
YHR180C-B,0,0,0,0,0,0,0,0,0
tT(UGU)H,0.016175,0.028643,0.046306,0.124159,0.093395,0,0.065914,0.012183,0
YHR181W,260.170593,243.511505,201.476151,118.613594,140.959976,143.699646,145.337402,174.479767,162.997833
YHR182W,5.734486,6.702746,5.431314,3.220015,3.131475,3.570213,4.49086,4.865798,4.335746
YHR182C-A,58.706154,52.442818,76.744408,58.953896,59.277653,46.207829,64.37722,71.749886,80.983276
YHR183W,550.345154,295.427673,441.375366,370.309174,382.101379,394.864227,517.365906,472.165649,475.66507
YHR184W,2.132952,0.99713,1.759737,0.064517,0.563545,0.540845,2.443786,2.262905,1.529342
YHR185C,0.464547,0.630648,0.299433,0,0,0.067727,0.363215,0.70963,0.39654
tV(CAC)H,0,0.579142,0.166719,0,0,0,0,0,0.363516
YHR186C,3.194361,1.852722,3.419324,2.899392,4.144491,5.3418,7.701295,7.468773,7.715099
YHR187W,14.844919,13.621358,21.355337,12.793513,15.045362,18.178406,21.699594,21.128954,19.224838
YHR188C,119.978027,130.923706,114.635941,238.0737,207.192062,218.659775,163.658203,153.538681,139.942978
YHR189W,8.284339,14.931858,13.402087,13.171343,17.236559,18.183958,22.484873,23.818527,20.89225
YHR190W,128.272369,108.708641,133.490845,146.994629,180.195114,171.817596,233.714096,236.465973,243.493622
YHR191C,21.241707,11.58212,22.879772,8.145067,9.789343,12.406577,14.137567,14.256055,18.29109
YHR192W,21.259365,12.344651,25.190456,6.656192,11.20532,12.352306,13.025438,13.507886,12.85798
YHR193C,441.469727,289.812042,626.048096,207.889069,256.363556,277.737946,245.633896,252.932526,269.175873
YHR193C-A,0.310112,0.68581,0.378006,0.407906,0,0.41927,0.449152,0.431991,0.50954
YHR194W,51.50087,67.613983,32.099648,52.577538,48.764759,40.564209,61.396503,56.154659,58.103642
YHR195W,14.009633,10.828937,14.884109,10.12909,12.676013,11.467483,18.361025,14.945848,16.216576
YHR196W,9.237118,2.884985,19.999424,3.620334,6.683141,9.533415,10.259245,7.670672,10.58721
YHR197W,6.529694,2.494202,9.959171,3.785823,7.186053,11.502289,9.587212,7.647516,9.298786
YHR198C,19.188549,12.259706,23.467308,17.780567,27.298141,23.499649,34.551777,36.021385,33.293602
YHR199C,157.956207,172.844711,93.092522,135.725983,136.623657,133.366516,166.818146,171.067703,154.835938
YHR199C-A,21.264105,33.226318,21.918814,24.982206,39.336967,38.199432,77.946602,62.837002,67.687469
YHR200W,73.888977,54.469494,56.370724,63.522858,75.650742,76.210114,192.676773,193.483826,181.699783
YHR201C,21.405771,16.53368,34.377304,15.821702,21.402256,21.522938,28.767735,23.900293,30.245592
YHR202W,3.785986,3.153747,3.304789,8.862139,8.591471,8.741701,10.331366,11.183509,9.534548
YHR203C,706.557373,633.571106,1329.494629,368.149445,521.494019,652.518616,647.387268,725.412048,706.203674
YHR204W,27.081358,28.404968,39.539516,16.585932,23.125412,41.45285,21.736467,23.712801,21.647327
YHR205W,34.958015,31.029026,40.070927,32.165157,29.008104,40.734219,60.097111,58.913887,62.295601
